a   日曰
hf  系秋烏鳥毯鳳禦篤鵝鵠纂鱟爨衃徖扊舄熏綮舕熧穄篜縏鴔鴩鴟燢穛篻鴸鴰鵅鵃鴭簝鵖鵚爂犥鯬鵳鶂鵯鵹皫穮鶞鶣鶖黧飉魒鷎鶹鷌鷍鷑鷮鷭鷽鸄鸒勲徚毜焈称篍篶籘籞緜舃颷飃飈騗鳯鳸鴁鴵鵞徱爫稤穒飚鴴鵢鷉鷱
hg  壬牡往皇重凰徨程筐雇稚艇種雒篁籬籮垕垼牷衄秷觕筌筀稑筳艎壆犝篞篧穜簊艟魋鵻籉籊觷鼮籗籦圱坕埀墍径徍徎徸忂秹籱雤彺皠皨皬筺箼箽簺艃荰軅
hh  身物秒秘第穆穋穢颺釁舠牬秎秭笏牻笫稊颩颬牬篎穇篸鼢簜飂飋剓彡徏毝毶犙馚鬽彻笌箉簓躮飏飏鹄
hi  凡么丟夙舟卵我私的待禹風射特鬼得符舷等筏箋魄篡篾魏簿籌彴彸牣彾瓝牳皊蚕笭舲皒蛗睾箹蝵斶穖篿螽簙艤颾鼭璺衊皭穱籛魕艬瓥鸃丢兎凨囱秇秐秢秲竼筹簒舤舧舩艥衂飍馢牫犠秽稵笂笇笺篈篯舦螌蠞軇
hj  千卑阜拜科竿皋秤秣稈筑箄魁篷聳鼾簞釋夆皁戽毧斞衈犐稗筸艂箤皞篳簟簰簳鞶轝籜鼲幷皐皔皡皥秆秊稺穁筓箿篺簈簲臯軃辞辠氒皌稡筚箪覠
hk  夭囪戾牧秧笑臭啟皎奧微筷徹徵篌鴃徽簇黴囟笅筊徯犑筱徶瞂氁箯魃徼敿徾簆鼤鼣皦簢鼥籔鰴鼵鼳鷻鼷徴戻敀敋敫秗秡秵稉稬笋笶筃籢躯飇齅奥幑敌斆犊犜稧筻筽舣躾颰风馛
hl  斤卯印卹所秉邸卿御郵節鼻鄱卬种邾郋郈舯郜筇笚舺郳郫笻鄅鄔鄋鄎箅鄡鬿鄮篽篰酇籪乔卽斦斵笷筗簘簛邤郍鄓鄥魀亻皍筪箫簖舏邬酂鼼
hm  氐生征竺垂牲牴徑扇租甜笨笙筠筵箝箠翩篛翱翻籤徂彽笁舡甡秠秪笉牼笪犆稙稢箜艖簅篲簂魊鼪舋魖齇徃曁氊稏笡箮篂籖躰乌凪徝徰笡皬稶笃笃笺筜签篯艝躻軅鸟鸱鸱鸹鸹鸻鸻鸼鸼鹄鹅鹅鹎鹎鹙鹙鹠鹠齄
hn  几行利刮制剁彿衍航躬移術剩街衙銜劉箭衛衝劓衡衢衎笐笒笰衒衖衕鳦瓾筣鳧甀甂甃箌劄甈箾衚颲鼽簃齀籈劗籯凢刋剰戹扅牨瓭甁秃秔筕箣篼衏衐衘衜衞衟鳬乥乮乯乯乺処凫劕穣箚箩莂衑衔衔衠鵆
ho  八爪乏失瓜欣臾徒秩徙從徠筮稼篆簌歟簽彳瓞笊徥筄臮歃筴歍歋箑箛箂篋篴簁簐穟艞籇艨躗籧处従徔欰笖笟籎籨衆辵飜徢秂穙穙筼箦篏篑篵籁籡质贸赞赪躛釈须颀颓颫颴
hp  氏牝皂乖忝怎乘息舐悉舵愁愆稔慇舔德慫憩篦鴕穗懲穩籠乇秅秕秖秜笓皉秺笢毸馜簏颸徿犤徳忎怣恖悡悤惒惣惥惩憅皀穂穏穲笩箆箟籭舭艌鴏鼧惫憄稳笼臰臱躵軈軈頾飔鸵
hq  牛律徉犁掣筆毽肇舉甪牪徫舽揫犍搫稦徲篫犩夅擧毪犂犇皣秚穉衅颹魓徤徤牜箨箻肁肈释
hr  各向后舌吞告和咎徊牯徜笞船喬犄皓筒答稠管箇颱磐箴躺颳艙黏軀簷鼯譽扂扃秮徛徟牾秸笴笥笤笳笘笱笸舸毰筈筎筘稒筥筶犗箈颭箬簉礐簭鼫鼩礜簬齁嚳譥讆启吿呑啓啔毡犃皗秙秥秱秳筨箁篬簵艁諬躳躸馠鴚鼦啠扄牱秴稆稖穃笿篖篖艍衉讏讏谸谸飐鴼
hs  戶乍彷秀房舫動笮甥筋徬粵舅勳犧牞劮竻勂秬舴舿筰勫篣艕簩艣軂籩勪牥秨筬筯粤鳨务劤劰劶勶勹笾簕臱舮舻艝
ht  升血扁笠算艋皚盤盥籃艦盉笄舁皏笲筭篕艗簋簠簦馧鵿籚艫乗箳軆徕盘盨笧笹笽箧篮艠
hu  毛卮先自禿兒爬秈看盾舢島笆兜扈嵇循皖稅筧箱範覺癿戺峊秏毨瓟眚笎舥虒笵笣兟毳犈犅筅徭筦艉覛犓穊箎颮皝箵艏艒覣嶨嶴篹篪篘臲穘馣鷈鼶齆乱嵆巵徺旣爮牦皃皩睝税笔笜筢箞箲篃篭艈覒躭鶃鼄龝兏屲岙岛皅皑皢穐笕箢簄臫舰舱莬飑鼿
hv  委很裊鼠製簑簍穠魍鼴笀扆媝稂媻筤嬃魆褩躽艛犣忀穰齃齈齉毺牤籑籝衇躴躷躼軁馤鼹农媭秾穣篒篒篓簔艆袅
hw  留笛番釉穡鼬籀籣徆牰毢秞舳稫皤簹艡籓飀牺稸穯筁艢备甶畠畠穑籒籕舾醔飅飗鼺
hx  留臼稻簫臿穧艩
hy  冬斥徘扉靠箊篚馡鼨毴笗翶翺鴤笇
i   戈
ia  昶庴廜廥禬禇麘黁询询诣诣诸诸谐谐谙谙谮谮谱谱间阇阊阍
ib  甫席朗庸廟膺禸凊廗禘禰禲禴宀师帰庯庽禙禞祸禑讷讷诮诮诵诵请请谓谓谛谛谝谝谞谞谪谪谲谲闹
ic  朮麻貳廉祺資禎廣賡鏖麒凎貣貵廎廙禛顑顣黂禷禶廭禩禵貟凕识识谦谦阗龚
id  床凜糜麋祂庥枲凈庨栥祩秶粢楶祼禖廩穈麇麜学庩庺术祙祵麕书冻净桨讳诔诔诛诛诤诤课课谆谆谋谋谍谍谜谜闱闲阃
ie  永冰求度凌康廄皴廈祿廢慶庋祋庪庱祲廋禐黀麚夋廀廏氷皳祾禄禝发废废浆设设诐诐诹诹谖谖谖谡谡谩谩阌
if  為庶戚馮熊鳶鷓鷹炱絫廌緳廡禚禡麃凞鴘縻鴾鵏鶊鶶鷛爢廪烕焤熋癳祘祢鵕厼礻诙诙谅谅谈谈谏谏谯谯阑麖
ig  社准庭座塵庄庢凐隿凗塱塺禋廛觱麈廱垒祍祬禥垄戜诓诓诖诖诠诠诳诳谁闰闺
ih  戊祕參廖尨庌庬禓参祶丷廫讶讶诊诊诱谚谚谫谫谬谬问
ii  戍冷府麼廚禱魔麝戔礿庤尃祔祛廆廕螚禨螷飆蠯広庅庒禣麽为为厸厽祷禌螀讨讨讱讱讼讼诋诋诗诗诪诪谢谢闳闽阀
ij  戎庫禪庳軬祽禈廦禫麛斚禆辝麞禅聋计计讦讦讯讯许许评评谇谇谭谭闭闻阐
ik  犬矣祆救廠敷犮冹祅祓猋廒禊麌义祦麣奖庆议议讴讴讻讻讽讽诀诀误误诶诶读读谟谟谳谳闵闼阒阕阚飙
il  州祁祈郎神廊廓臧鄘廝庍邰祌祄郕郙鄬凘鄜鄺庘廍郞鄌鄽丬刬庎训训谉谉邝闸
im  式戌底或祉祖祗冱彧祤廑禢禤麆麠亝叁叄弌弍弎归禃亠冫冮冯应戋甙祃讧让让证证诅诅诌诌试试诞诞诩谁谊谊谑谨谨谶谶闪闬阈鸢鹇鹒鹒鹧鹧鹰鹰
in  划序冽瓷廁麂庈剆瓵剫剼劘冖刣剗劆庁乲乶刬讠订订讥讥讧讫讫谕谕闶
io  之次庚庾腐凝蹙庂庣欴祑庹庲欸祧禔禒廞禭庻庼氺祯衤认认该该诬诬诼诼谀谀贠贰资赓辶辶闫阂阓阙
ip  弋庇怠祇恣能鹿惑感態慼憑應龐廳庀忒庛怷麀廘禗慦廲麤叅廰応曵冺喸巅庞廃廤怸慿懬懬懯戋讬讬讹讹论论访诧诧谂谂谔谤闷龙
iq  牟庠祥摩麟禕犘廨廯冿库库译译详详诨诨
ir  台冶店咨咸凋唐祐祠禍磨禧冾凅祏祜祒祫凔祰禂麔麙噟戓祮禟譍麐麢砻祻詟詟诂诂诃诃诇诇词词诏诏诒诒诘诘话话诟诟语语诰诰诺诺调调谘谘谴谴谵谵闯闾阁阔麏麿
is  成祚礽祊庐户旉书劺勆祎讳讵讵访诈诈诚诚诱谑谔谤闩
it  弁戒盛盞禮廬庰盚祴廅盋盙盏盏讲讲诫诫谥谥谧谧
iu  允尤庖祀祝庵廂視麾庉冼祪祹毿禠麍麑乨廐礼祱麅奙庑毵虦视讠讪讪记记诎诎诜诜诡诡说说谎谎谠谠谣谣郒闿阄阅阉阋
iv  良姿威裘禳戉凄祣祳廔餈麎廮庡禯袭装诿诿谌谌谒谒阆阛
iw  凍畚福庮廇廧庙庿禉谰谰酱醤
ix  麡谄谄阎
iy  靡庝疒讣讣诉诉诩诲诲诽诽谗谗阏阘
j   十
ja  者耆宿暫窨兡
jb  帘宥胡宵寓朝輔輛輪轎竊巿窉軜寎輎輤輣輲麶寈寗轜麱窝輌
jc  穴真寅賁實賓戴賽額鏨顛寶竇寊軹寘輁頍窴賨頞顁轒鑋协宍寳賔賫賷顮宾宾朩
jd  未字宇孝孛宋案栽寐窠寨榦麴穻寀窏窙孷槧輠橐窱輮寱檕轃轈櫜轏轢宷来桒梥穼軤宩宯宲枽窼韩
je  支寇寂寢輟軗寑寖嘏毄漦輘輹鼖叜寝殾窡軙輙麬叓
jf  宗索煮察寮寫窯鴣繫騫寪輬鳷窵鴳鵓轑鵷鶈鶟鶘鶦鶷鷏鶾鶱鷒鸋灾煑竂鴧鴪鵍繋鵼鶎
jg  室窒耋塞輊塹截窪釐窐軠臷軴輇漥墼雗兣宔耊軖軽轥寉軭
jh  穿寡寥宓軫剺轇兝彮窃輰麨麨
ji  守宏軔專麥博戟蜜寬轉蠹穸軓蛓軵軨戭輚攳螒麮蟗蟿轙轛宖宝寃尅叀専軚転
jj  廾車南宰軒辜幹載斡輯轟軯窣窲轋轚兙兛卄窧輧鞌艹軐
jk  丈吏故突教窗較寞輳竅轍宎穾軑窔軷軮窫实実献耂輭卖宊寏窦
jl  宦斬都麵宧窌郣郪輀鄟窷审斱窜
jm  士宜直空宣翅軾輕翰窿矗軧窢翥翸轣轊宐寉窎窎翘轌骞鸪鸪鹁鹁鹓鹓鹕鹕
jn  究事穹剋軌剜乾割寧窮輸宁宄穵剚軡軶剸窬麧亁宆寕寜瓳甎乽乽亊弿
jo  定家窕軟軼麩疌宨窆窊寁寔胾軱寙輆疐窳歕寲窾蹇蹔斄轐倝畞窽贲赍赛赡軣軣额颠麳麳
jp  它宅老惠輥憲寵軝悹惌窸轆轗怘恵悳惪愙慙窓窤窻竉嗭嗭宠寭愂窍
jq  牢搴犛擊韓轔甯麰撃窂载载
jr  古官哉客害宮容寄窘窖軻寤窩豁轄宕耇宭軺軥軩輅寣輑輍輖磛輷謇宫礊耈軲輢輱窹竆耉耉軎輨
js  考協勃窄窈勀宬寯勊窚軪麪麫宱宱攰穷窍轌韩
jt  卉寍軿轀轞轤麷卋寷穽輼宑
ju  七克完宛軋耄軏密軛窟兢輒輓窺宒窀窅窋窇軘軞寋軦輐氂輗輴麭竀竁罊覾乹兞宂宻寚寛崈窑窰竈覩覱軕軳輄麲宪宽寴尧尭窥窥竃觌
jv  安妻宴宸裁輞寰輾轅竄囊嫠寠窶褰輵轕轘宼嚢嚢宺窛窭
jw  宙富軸審輜輻酨輶轓轖轠輽麯輏輺輺
jx  窞轁輡
jy  寒輈栆翝翧輫继
k   大
ka  旭奢猖奭旮瘏痻瘖獪癐昚狛狥猎猪癎暂瘄
kb  布有希肴狷病脅帶猜痛獅猾瘠瘸瘺癘癟冇狶猏痏猢猵痡痟尳痭獝獢獳獮癇獼癵嗧奛犻猬猯奟狮辅辆
kc  狽賀痲頰獷獺癩癲狖疻頄痶獚瘨癪办獱尲尵猉猠猽獖痖癀轵錾頬
kd  存架猓猙痳狳猱痚獉痵狇狏癛东尮尮杀杂椠橥狰痫轷轹
ke  友疫疲殺痠瘦瘢獲狻攲敧殽猳猣獀獌瘕瘝癈獶癜獿玃狓猨痩癁轰辍
kf  灰狄奈疢痰鳩駕療鵪狋獂猻綔獠獡瘭瘵瘰鴐獯鴮鵊鵗鵟鵸鷞鷯鸑尞獁癄夵狝狲猄猔猕癝辌鴺
kg  在狂奎狸痊雄玀癱尪狃狅狴疰尰痤痽獞瘞獾癰圶奞猚獕痓瘇癨癯雑堑瘗瘫癍癕癦轾辁
kh  疹瘍犽猀痧痝獩瘳犲狵疨奯犭疡疡痬瘆瘮褝轸
ki  丸太狩套痔奪瘋獨厹尥狑痋猦猼瘙瘣厷厺夽犱独獇疛痃夺犳犷狯畳瘹癊轫转
kj  瘁痺獐瘴癖犴狨耷猝猈癉奲卆夲猂獆獋獔斩狰疩瘅瘒筚轩辑
kk  爻狡疾爽猴獄瘓癥猰瘈瘊獙獥瘯瘼癓癓玁夶敎犾猤獏獓疦瘷奁狱狱獤疯痪瘮轪较辏辙
kl  尬狎疥郁夼狆奅狾郟郗郩痹奫獑癤玂夰奤郀郄斩疖轿郏
km  左狙症疳疽疸猩痙弒瘧狉狚狌疘狟翃狿戫瘥瘽癃弑爼瘂癧冭夳奃犸犸猃猹疟疷痉痉痖瘫癕轻轼驾鸠鸠鸫鸯鹌鹌鹩
kn  九刈夷疙剎痍痢瘉獰犰犵犺疔刳狒奓剞猁疿猘痑瓻痸瘌刹夣乫剦剦狞猟猡疗轨输
ko  夾狐疚狹瓠獗癡狣疺欷痎欹猭瘃瘐獛瘚獫瘲閷奒瘶狈猍獭獴疭癞癫贺软轶颊
kp  疵痣勰癒癮疕狔狫疧疪悐猑瘜瘛瘱慸龓态痆瘪瘾癋癋癔轮辊辘
kq  癬羍痒獬牵獜痈癣癴车辚
kr  加右奇狗痂痞痴奩瘩瘡狜狤狪訄哿狺痁痀猗猞痌痐猧痦獊痯痾痼瘑瘔癚叴奝狢狧疴夻轱轲轺辂辖
ks  力夸癆夯劦痄疓疞奆狕疠疬痨轳
kt  奔猛盔痘瘟尷狦疶狭獈盇夹尴獹辒
ku  尢犯奄疝疤疣匏癌狁毠峱虓猇猊馗毻猺痷獍獟劜尯犹犼狍猐猸疱痥眘夿疮痜轧轭辄
kv  狠狼痕袈猥猿痿獵癢奿狘姭猲獦獧癙獽癭妿痮瘎瘬瘻癏癑乄瘘瘿辋辕辗
kw  猶瘤奮癗奋猫癅轴辎辐
kx  癠
ky  疼瘀痱犿痗冭猅疜辀
l   中
la  帕書褚幟褶蚎衵帾袙蛨袹蝫蜡裮蝔螬蟙襘蠩襫帞旧蝽蠴褿临甴螧裥襇间阇阊阍
lb  巾冑胄背蛹補蜻牖蝴蝙褊鬧蠕蠣帩蚋衲蚺蛃袡蛸蜎蜅裐蜦裲蝑蝟蝺褅褙螖螄褯螪螭螮褵蟜襋襉襦蠵牑牗蚏蛕蜹蜽螎蟎蜗蠇褃襔襧帅帇肾蛳蜗蜟蜟螨螨蟐蠄褍褠闹
lc  幀費貴順頫冀螟鬨牘袕幁幎幊幘蜞幩蝜蝢賮螾蟦蟥蟤蟘蠀蠊蠙襭襩襶帺蛽螊褀襀襈襸頔帜忄猠襰鉴阗頥
ld  蛛牒裸蝶褓衧衪蚞袘棐袸袾蜉蜍裍蜳蜾蜠蝣蝚褋幧螓褬蟂蟝蠂襙蠑虵虶虸螩蟍襍帏幉橥蝾袆阃
le  版被幔蝦複帔沊蚑衱衼蚾蛷蝃蜬蝂裰裬蝯蝬蝮褑蟃襏蠖襮蠼螋襊隶蛧袯袯阌
lf  鴆螞鴦螺襟朄裧幠幜蟡螈螐蟅螵褾蟟蟔蟭鷜鷫熈幖紧螦蟱袮襕阑
lg  衽帷蛀蛙蛭蜓裡幢蝗螳幄蜌裎蜼蝩螲蟶蠗蠸蠷蚟蠘袵袿坚帼蛏蝈蝰褈闰闺
lh  初衫蚜暢蜴虭蚡衯袗蛖幓裼蝪蟉襂蟛帉袐畅畅裑闭闲
li  帆虫蚣蛉蛾褥蟲蟻襪虳衩帴蚿蚹袨袪牋蛶蜙蜚螝幬襁幭幮蟳蟣襑蠋襡蠛襺襼蠾蟵衳袊褹鬪帱帼牔畃螆衬袝襨闳闽阀
lj  蚪蚌牌蜂幛裨蝌輩褲蟀蟑蟬虷蜱幝蝻褌褳蟫襌蠌襗帓帲蚲蛼蜶衦袜鬦蝉褝襅襵軰闬闻阐
lk  史央蚊袂斐蛟袱蜈數蟆襖帗蚗蚥奜蛂袚蛜裀幙蜧蝡蝧褉螏螇螑襒鬫猆袄乄帿牍牍蚁闵闼阒阕阚
ll  川片申串邶蚓蜥螂邥虯蚚蚧衶鄁蝍蜵裫蝒鄪幯螹襣畁粛蚛蜖蟖衸袻鬬獤肃蛴蟏邮闸
lm  虹韭晝蚶蛆蚯袒畫幗翡蟈蚐袀蚳蚽袛袓蛵蜮蜒蝖螉褟螼蟺襢蠮襳丄丠蚦衻袏甴蚂蚂裆裣褨褨闩闫闯阈阘鸩鸩鸯鹇鹔鹔
ln  弗鬥蜊劃蝓褕帄刜虰虮虼剕蚢蚙衿蛦蛚牏蝏凣甊刂猟蛥蝋蝲袳裄闶
lo  兆蠍蠔帙蚨蚇衭蛈蛌袟幏蛺蜁裌蜨蝭蝝褆褖幪褷蟓襆襐襚襝蠓幞歗蝊蟩襥帐帧帻贤贵费闪阂阓阙顺
lp  北曳忠衹患蛇悲蟋襬虴蚍蚔袉螅褦螰蟌蟪幰蠬襱襹幒牎牕蚮蜫裩蚭蛯螕闷
lq  聿羋幃牉袢蛘蛑袶蝆褘襻幥蟽蠏蜯裈裈裢裢裤裤襷辈辈
lr  帖蛄蚵蛔蛤蛞裙裕蜘蜩裯蝸褡蟾帢牊蛁蛅蚼袑袧蛣袺袼袷袽蜛裾幨螛螗褣蟢襜蛿螥蟮袔袥袩裿蛒訚问闾阁阔
ls  蚱螃甹蚷蚴袎牓蟧冂蚄袴帏蛎蛠蜏蜐袆门闱
lt  盅盎盡蜢蟒襤蠱帡蛢裋螘蝹褞蠦衋幈蠎袣监竖蚈蛊蛱螠裇裓褴阖
lu  儿胤袍帽幌蛻蜆覜蜿蜷褫蟯蠅襯冘帊帎帨蚖蚆蚅蚘蚝衴艴蛫裗裞蜣蜪蜺裷裺氀蝷蝞蝐螔褼襓鬩鬮児兠帵虬蜕蝇袦裪裭覑靟乚兂兓电蚫蚬蛲蛲蝿览闿阄阅阉阋
lv  虻婁帳裴褐褪螻褸蠟婓蛝裉蜋蜄裖蜲裱蝘蝛蝎褗螁餥蠉襛蠰蠳帪帹幆褛褤蝄蝼褄褄阆阛
lw  由袖幅蛐幡蝠蟠襠丳蚰蝀蝤褔蟷蠝襴幱襎襽畵蜔襕軰
lx  肅幍蜭蠐蠨牐蟰阎
ly  非褂蚸裶蝳卝虲蚒蛡袇虾补裃阏
m   一
ma  百珀厝晉殉豬醋曆珣朁殙琩皕瑎碏酯璔醏璯磳霫晋暦琘琽瑃瑉瑨砶碈磖醕醩瓸磵譛鱪
mb  丙再玥珮砸脣硝瑚瑞硼厲璃霄礪霸襾珃珛琄琋瑀碃碖碲碥豨酺酳殢璊碻霈璚磞磭醐醑礄瓀醨鬵瓋礝醹瓗両两丽奣帀瑡瑺瓍磆磮覇豧豴霱靕鬴琑硧碿礀酭酾
mc  頁貢頂琪項碰碘賈頑頊瑣碩璜磧頸頭磺殯願礦贗瓚珙珼厧琠頇殞瑱銎殥磏磌豏霟璸璵霣殰礗豶霬礥礩顠礸兲殡琻瑻璌璝璳瓄瓉瓎硔碒磒貮贋銐靅靧頋頙頢顬亚殨玐瑸瑸瓆硛硳碵碽礖礴靌靌
md  于厚栗殊珠硃琳琛粟酥碟酵酴醇臻霖璨礫玗矷孬珔酏殍琈厤琤硱硢碄碅碀雽瑧瑮璅瑹磔磉醂霂璪磼磲醚櫫瓅醾栞橜檿殜殝琹瑈璖砞砤硣臶酑酻雬霼殩玮砾礏礏
me  汞歿泵玻夏破球豉瑕碌酸憂豭璦霞覆瓊醱砅砐砓砯殏酘殔琡琭瑗瑔碫碬醊醁醙瓁夒鬷靆靉厦殁沗瑖瓇瓈碐豛雭霴厡叆叇瑷瓪瓪磤酦酦霡
mf  不示原烈焉票瑪碳碼鴉璟礁醮鵡醺烎琮琰鳱殦鳽鳿鴀鴈磩磥豲鮤鴯鴷燹醥鵛礤鶝礯鷊鷅瓙醼鷣鷢鸍黶鸝炁烮环珎琼瑓瑦璙碂磜礘覊醈醿靍鳫鳾鴊鴌鵄鵐鵶鸖鸘厵灭璑磦磶靎靏靏黡
mg  王至玨型班珪堊理斑雁雅碓璀確霆霍壓霪霾厔厘垔砫珵珽硅确臸雃酲醀璡磪醛礭瓘靃厓圧坖坙垐壐尫琟瑝璂硂酫霔垩垩瓼甅礶
mh  牙形珍砂砌瑟殤厂厊歾玡玢厖殄珌砑砏耏珶酚硥雰瑒瑏覅雺彯碭璆磣磟璱醪霦鬺彲珳舓霷丆彨殇玚玚瓰砀砀碜酽醦
mi  云歹玉瓦矽玲耐虺砝辱酌戛殘琺雲蜃零瑰磁魂璣磚融磯醜璽飄蠶魘玊玓玹砡砪砱酎珴琖硪蛩硹戩瑵蝁酹瑼磈醆璕磠霐礒蟨礡霨礣蠠霵釂压厨戞戨戬玜珏珐琧璹砙碊碍碸蝅蟸蠒酧醻霗厯巩矾矿砖砿硡磗礴虿蠺酝酞颪魇
mj  干平砰覃琿碎碑璋醉鞏霹玕玤玝矸厗厙玶珥酐硨璉豍殫璭磹磾璻礔醰鞷醳琕琗琸璍瓩砕硏硸礋聓豣酔酙厈歼殚殬瓧
mk  天攻更玟玫政殃致敔酗敢硬雯瑛厭爾霰釅奀攷殀玦耎珓珚琝瑍雵殠碤璈磎磝磢璥礅豯霙礉璷覈霺瓛礹厫厰瑌璬砄砇硇磸礇礮覄霚厌巩攼敐砜砹硵碝碶礟飘
ml  而邢邪斫面砷鬲琊瑯酬需酈靨丌亓邗邘邛玔邧玠邴邳珅玾珋砎郅郖郠郚奡鄄鄏鄑鄠鄢鄾厴霩酃丅卭厛厮殐琾瑘邒邷郉鬭厣歽硚舏郦霁
mm  二三工互五丕正亙酉亞武亟歪砥砠雪殖甦酣硿瑾磋歷翮醒殲靂靈厎巠玒矼殂玵珇珝砵豇厜殌硜殛瑄瑆碔雸瑳碴硾殣殭翲醝礓靋亘亜厪歴珄珬珷琙璮瓑甤畺砋硟礰豠霊霳严亖亚弐殅殓殱玙玙玛玛珰码码砼硁硁硷碹礶鸦鸦鸸鸸鹀鹀鹂鹂鹉鹉鹝鹝鹴鹴
mn  丁刊列刑到酊副琍硎琴剽瑜劂甄亍刓玎瓨矻剄剢珩砨砩琌豟瑐碠霒霠刯剅厠玪珁珟矴矵砊砛硶霛乛乤乭厅厕幤殅玑矶
mo  仄巫玖豕兩砍砭厥琢歌璞瓢殮璩礎礙豖砆珧豗殎琁珿覂硤歅瑑碇豥跫豩雿璇瑽醍璲豵霥礞醭醵厱玞珡琔琜瑅璴硋硺碮磫礆礈蹷酜靀乀乁巬巭殒玐琎琐瓒硕碛訳諚豮贡贾赝赣趸醶页顶顸项顼顽顾颥
mp  死玳恐惡琵琨愿麗瓏忑玭矺砒恧玼砣酡璁憨麉醷靇釃忈悪慐憇珉珯璤硓磇礠礲聼醌龎龗丂亐磇厐厑厯忢恶恶憠懕珑璏硴誮醗
mq  甭璘磷肂珜珒硉琫揅瑋擪残琒砽厍珲珲琏琏砗砻礃
mr  可石吾否殆玷哥唇珞砧琯琦碉酪酩瑭碧酷磊噩霑醣露珂珈玿珆珨砢砳珸琀珺酟硌硐殕琚琱琣硞酤酟酠瑊碚碕酮厬瑢瑲碢磍磄醅霅璐礂霘霝磿醧醽唘玽珦琂覉硘碋碦碱磓磰舙舚覉硘醎雼霌靣兘彁硲礳臵
ms  丐功巧勁砟雩磅勵霧万丏厏琇臹酢雱磡醡亏动劽勔勡历厉戸玏珕珹璓磱霶丂丣亐劢劯励玮砺雳雾
mt  弄豆盂珊盃研磕磴醞醴幵玴殈砬豜殟磑殪璒醓豱醢醠璶瓂醯礛豷霯尶瑥璼瓐硑硦礚礷醖雴霻顨开琎硖醘靊
mu  兀元厄玩琉砲配現硫琥琶硯瑁碗電雹瑤豌醃霓靦霜璿兀旡厒矹卼珫玸珖珗殑硊豝酖酕殗琬巰瑂碙覝覡磃醄殧虣磽黿礵霿厩无毭玌玘玧珤瑶璄砈碷磀磘覔覼豘雮霕靤厢现玱琓琷瓱瓲砘砚础硄硗硗硙觋読謡酛酰霃鼋
mv  辰耍要琅裂碣碾震霎環餮瓖瓔饜釀靄匚姴硍硠硭豤碪碨霋嬮霢醲霮匸婯嫑珢瓌硽礍礢酼飱饏孁珱珱璎磙譲酿醸霭霭餍
mw  西瑙雷霤硒璠璫磻礌礑瓃礧瑠璢瓓画畐畱碯磂靁靐鬸疈覀靥
mx  霽璾瑫璛
my  下雨霉霏玬砃厞珘琲碡玣珻瑇酶釄雫
n   弓
na  陌階魯鯧鰭陼矠觰鮨鰆鰼鰽鱠鱨孴廹暓阳陹隌陥驲鮊鯺鱛鱪鱰鲁鲌鲳鳍鳍鳛鳛
nb  胥隋隅隔隨孺彌鮪鯖陃陏弰脀弸陯魶隬鯆鮹鯞鰅鰗鰝鰤鬻鱊鱎觿鱱弲矟阴陠随隭鯒鯩鯿鱅陗饰饰馉馉骊骗魳鯑鰖鲔鲡鲬鲭鳊鳙
nc  小負隕預夤隒彉隤頠頲鍪顄鯕鐆鰜鰿鱮彍觵隫鱑鱝孭馔馔驷骐骥鲯鳒
nd  子孕弛柔桀除穌孖阤陎陱楘鮇檃鮢鮽鯙鯚鰈鰇觻鰷鱢鱳争弴彚朶櫽陁隟孨弙弽稣粂陈陈饽饽馀馀馃馃驰骒骣鮴鲦鲽
ne  及阪函陂陵陬發鰥觼鰻夃氶弢癹觙觩觨敻魬鯄鯪鯫鰒彏鱍凾夐录氹觮陖鮻鯼鰀鰕鱯皱矡阥饭饭馂馂馊馊馒馒驭骎骏魥鮍鮼鰁鱇鱫鲅鲏鲮鲰鳆鳈鳏鳗鳠
nf  灸孫魚煞隙際燄鴛鯀騖鯨鰍鶸鰾尕烝孮弶鳵駌隰鮛鵵騭鶔鶩鰶觾鷸尔弥烉焏熃阦阫隖隝隲鯮鰊鱻鵮孙鉨际骔骠骡鰞鰢鲧鲸鳅鳏鳔鵤鷠
ng  丑廷角陛陞陸隍墜墮鮭鯉堥隉隀觟墬鯥鰉鰹鱹埅塦陮陻坠堕玺陧隚雏饪饪馐馐驻骓鰘鱃鱃鲑鲣鲤鳇
nh  矛陽觴陟魛魦魵鮅鯓魩鯋鯣鰺鱥彅觘觞饧饧骖鮷鯵鰑鱽鲹
ni  夕弘多兔弦虱附強蛋陰蝨毚蟹觸弣阹戣戤触隗蜑魡蝥魼鮒蟊螴鰣瓕鱄鱒鱘鱴厾强矝阾隂隯隵鮌玺蚀陦饿饿馎馎驸骚魿魿鯴鰠鰦鱂鲋鲙鲟鲥鲺鲿鳉鳉鳋鳚鳟
nj  阡弭陣斛陴障彈鰱阠阡彃鞪觶鱆圅弹弾癷觪阧鮃鯶鱏鱓鱡卂斘觯隦饵饵骅骍鲆
nk  又孜奐癸鮫觖陾隞敶魰隩鯁鯸鰬奦廴敄矦鯾买奂疯矤饫饫饺饺馍馍馓馓驮驱驳驶骃骙鮁鮲鲛鲠
nl  弔引鄧鯽觓陑郔鄈觫鼐魻鮞酁卶夘廽疎邜邹阝鮣鱬弫弬阶驯骄骕魪鰰鱜鱜鲕鲚鲫
